[2026-06-09T09:46:49.612Z] Connect: socketId=ub4aspN2b9hqBmeoAAAB, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-09T09:46:50.976Z] Connect: socketId=96ZO6xvonSvsoqmgAAAD, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-09T09:46:51.712Z] Connect: socketId=ko3PWayNM2Jlv3JAAAAF, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-09T09:47:02.263Z] Connect: socketId=gjZ0_Q7gwrine4MNAAAH, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-09T09:47:03.135Z] Connect: socketId=Ge1cZtO3TnlIsmbUAAAJ, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-09T09:47:03.410Z] Connect: socketId=58hWLFS_wS2o1tkYAAAL, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-09T09:47:22.381Z] Connect: socketId=FM1Q_mtsOiNnwq-BAAAN, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-09T09:47:22.863Z] Connect: socketId=VvL3wvofayWNo4mQAAAP, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-09T09:47:23.069Z] Connect: socketId=2O5QW29gsjfhdIeSAAAR, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-09T09:47:43.635Z] Connect: socketId=NVoEL_Bg05Zy7Uc-AAAT, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-09T09:47:43.856Z] Connect: socketId=O3lFFwUfzBXn8shoAAAV, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
[2026-06-09T09:47:44.097Z] Connect: socketId=sdo8FM5grjOnVkoqAAAX, userId=69bec5526c7d48e8ee790b9b, role=ADMIN, joinedStaff=true
